doi,text,label,split
10.1039/c5ee00878f,"Therefore, it is a major challenge to find appropriate Na storage electrode materials or structures for high performance SIBs. ",no,test
10.1039/c8cp01667d,"On the other h, the abundance of sodium and its lower price make sodium-ion batteries cheaper alternatives to lithium ones, especially for stationary energy storage. ",no,dev
10.1039/c8ta11927a,"It is highly essential to develop effective cathodes for high performance SIBs with sufficient Na storage ability, high rate capability, and long-term cycling stability. ",no,train
10.1016/j.jpowsour.2018.10.058,"The use of lithium ion batteries (LIBs) has been rapidly growing recently, to meet the increasing demand for clean and sustainable energy [,]. ",no,test
10.1021/acs.chemmater.6b01935,"Sodium-ion batteries (SIBs) are a promising alternative, addressing the aforementioned issues related to the cost and sources. ",no,train
10.1021/acsami.7b05326,The commercialization of the rechargeable lithium ion battery (LIB) in the early 1990s by Sony propelled the development of portable electronics. ,no,dev
10.1021/acsami.7b05326,"- As consumers become more aware of global climate change, the applications for LIBs are being extended to power hybrid and plug-in electric vehicles; however, using LIBs as a ubiquitous energy storage and conversion system could increase the demand for lithium, causing exorbitant prices of Li resources. ",no,train
10.1039/c7ta00880e,"Accordingly, it is still in great demand that effective protocols need to be developed on these cathode materials so as to achieve a satisfactory balance between the structural stability and the rechargeable capacity to fully exploit their potential in SIBs. ",no,dev
10.1016/j.elecom.2017.12.029,"Room-temperature sodium-ion batteries offer an alternative solution for large-scale energy storage system because of the huge abundant, and low cost of sodium resources. ",no,train
10.1016/j.elecom.2017.12.029,Room-temperature sodium-ion batteries (SIBs) are gaining great attention as alternative solutions for large-scale energy storage systems because of the huge abundant and low cost of sodium resources. ,no,dev
10.1016/j.jallcom.2017.02.200,"To address this issue, it is necessary to develop high-voltage cathode materials for SIBs, which can maximize energy density and power density simultaneously. ",no,train
10.1021/acs.chemmater.6b04769,Sodium ion batteries have garnered significant research attention in recent years due to the rising demand for large-scale energy storage solutions as well as the high abundance of sodium. ,no,train
10.1021/acs.chemmater.6b04769,"In recent years, the demand for rechargeable lithium ion batteries (LIBs) has increased significantly, as larger batteries are utilized in electric vehicles and in grid-scale energy storage systems to complement renewable energy generation. ",no,test
10.1021/acsami.6b04073,The demand of powering the electronic devices and electrical vehicles has promoted the development of a portable energy system. ,no,test
10.1021/acsami.6b04073,",, The ability of charging and discharging at a high current density is crucial for the battery. ",no,test
10.1021/acsami.6b06701,"Recently, a rapid increase in demand for renewable energy storage promotes further development of rechargeable batteries. ",no,train
10.1039/c8ta06551a,"Over the past two decades, advancements in Li-ion battery (LIB) technologies have contributed immensely to changing our daily lives. ",no,train
10.1039/c8ta06551a,"Recently, another type of energy storage system, sodium-ion batteries (SIBs), have received significant attention mainly because of the abundance of sodium resources in the Earth's crust, which could thereby greatly reduce costs. ",no,test
10.1002/aenm.201702942,"- More importantly, sodium is very abundant; therefore, the development of SIBs is crucial for the development of large-scale energy storage systems with high-energy-density cathodes. ",no,dev
10.1016/j.cej.2019.123234,"Therefore, the energy storage technology is of great significance to take full advantage of renewable clean energy. ",no,dev
10.1021/ic300357d,"Because the application area of the lithium-ion batteries has been expanded, lithium mining and production have been significantly increased in the past decade. ",no,train
10.1039/c6ta10345f,One critical bottleneck at present is to develop efficient SIB anodes which can store large amounts of Na+ robustly and durably. ,no,dev
10.1039/d0ta08400j,"The sodium-ion batteries are considered as a promising alternative to the currently dominant lithium-ion batteries for grid-scale energy storage, because of the low cost and huge natural abundance of sodium resources. ",no,dev
10.1002/adma.201902603,High-power sodium-ion batteries capable of charging and discharging rapidly and durably are eagerly demanded to replace current lithium-ion batteries. ,no,train
10.1002/aenm.202001111,"[ - ] To meet the increasing demands of the various applications of lithium-ion batteries (LIBs), their energy density must be further increased. ",no,train
10.1002/adfm.202010500,"The capacities of the cell without any additive fade fast and no capacity is delivered after 200 cycles, while only a capacity of 54.4 mA h g-1 is retained for the cell with only SA as the additive after 400 cycles at 1 C rate. ",no,dev
10.1002/aenm.202001609,"The discharge capacity decreased as the cut-off voltage was lowered, resulting in 125.4 and 108.9 mAh g-1 for 3.58 and 3.35 V, respectively. ",no,dev
10.1016/j.jpowsour.2018.02.053,"A discharge capacity of 151.9 mAh g-1 is obtained between 2.0 V and 4.3 V, the capacity is lower than 173 mAh g-1, which might be associated with the reduced Ni content in this work. ",no,test
10.1021/acsami.6b15355,"Despite this, alternative, superior, dual electrodes need to be developed for symmetric Na-ion batteries, in order to replace the P2-type Na0.66Ni0.17Co0.17Ti0.66O2 material, which is desirable because of the toxicity of Co, and the substantial cost associated with Ti for large-scale production. ",no,train
10.1039/c7cc04328g,"Furthermore, the average operating voltage of Na+-intercalation cathode materials is lower than that of Li-host counterparts by 300-500 mV. ",no,train
10.1016/j.electacta.2013.09.098,"Zhou et al. reported an interesting single-crystalline Na0.44MnO2 nanowire material, which showed excellent rate performance with reversible capacity of 103mAhg-1 at 8.3C, but the first charge capacity of this material was only 50mAhg-1. ",both,train
10.1016/j.electacta.2013.09.098,"The P2-Na2/3[Ni1/3Mn2/3]O2 cathode show initial charge capacity of 132mAhg-1 and initial discharge capacity of 142mAhg-1 in the voltage range between 2.0V and 4.5V at 0.1C rate, but the capacities decays rapidly in only a few cycles. ",no,test
10.1039/c8ta10980j,"Namely, the bare P2-NaNMO electrode only maintains a reversible capacity of 73.8 mA h g-1 with an inferior capacity retention of 46.2% after 100 cycles at 0.1C, showing a rapid decay of capacity during cycles. ",no,train
10.1002/adfm.201705968,"Surface stabilization of cathode materials is urgent for guaranteeing long-term cyclability, and is important in Na cells where a corrosive Na-based electrolyte is used. ",no,dev
10.1002/celc.201600221,"At first, the room temperature conductivity is approximately 10-7 S cm-1, which is too poor to be used as an electrolyte. ",no,test
10.1002/ppsc.201500129,"Even though many new cathode materials have been proposed, there are some drawbacks that limit the further application of those compounds, such as poor cycling ability, limited capacity, and unsatisfactory rate capability.Therefore, a promising cathode material with good properties urgently needs to be developed. ",no,dev
10.1016/j.cej.2019.122978,"Herein, we focused on O3-type NaNi0.5Mn0.5O2 cathode, which was known to be a promising cathode owing to its high capacity (>120 mAh g-1) at a low upper cutoff voltage (<4 V), but the capacity retention and rate capability was unsatisfactory. ",no,test
10.1016/j.jallcom.2017.02.200,"Although two electrode materials exhibit a high initial discharge capacity, a fast capacity decay is observed in the first 10 cycles. ",no,test
10.1016/j.jpowsour.2019.227554,"Although the cycling performance and the rate capability of these materials can be largely enhanced when narrowing the voltage window is applied, this is achieved at the expense of ~30% of the total capacity (based on the value obtained at 50th cycle). ",both,train
10.1021/acsami.5b09181,", Although many interesting positive electrode materials with acceptable performance have been proposed, - one of the major obstacles in realizing SIBs is the absence of suitable negative electrodes. ",no,train
10.1021/acsami.5b09181,"Several transition metal oxide/sulfide anodes, such as CuS2, Ni3S2, - FeS2, Fe2O3, , SnO2, and SnS2, are reported, delivering high storage capacity with similar redox potential, but they suffer from poor long-term cycling performance because of their large volume changes during sodium-ion insertion/extraction processes. ",no,train
10.1021/acsami.5b09835,"As we mentioned before, Figure a shows for a typical sodium cell an initial capacity of about 135 mAh/g, which is constantly fading during cycling, leading to a loss of 9% of the initial charge capacity after 25 cycles. ",no,train
10.1021/acsami.5b09835,"Increasing the rates to C/10 did not show drastic changes in capacity of the sodium full cells, while the lithium cells steeply decreased to a discharge capacity value of 162 mAh/g at C/10 rate (~12% less than at C/30) . ",no,train
10.1021/acsami.5b09835,"At C/5 rate, a reduction of only 8% in capacity (110 mAh/g) was observed for sodium cells, while the lithium cell lost ~22% capacity (showing only 145 mAh/g). ",no,train
10.1021/acsami.5b09835,"It was shown that with increasing current density, the capacity of the lithium cells decreases more rapidly than that of the sodium cells. ",no,train
10.1021/acsami.5b09835,"Comparing Na and Li ion cells, the former may exhibit a faster kinetics; however, Na ion batteries cannot rival Li ion batteries in terms of energy density. ",no,train
10.1021/jacs.7b00164,"The material delivers a reversible first cycle capacity of 138 mAh g-1 when cycled between 2-4.5 V, with a low Coulombic efficiency of 75%. ",no,dev
10.1039/c6ta08667e,"However, the specific capacity at very low rates is comparable with that of P2-Na2/3Ni1/3Mn2/3O2. ",no,test
10.1039/c6ta08667e,"Furthermore, cycling within 2.0 V and 4.0 V led to excellent cycling performance, extended over 200 cycles, although with lower capacity. ",both,dev
10.1039/c7ta09260a,"An ideal synthetic method for NIB materials would need to enable simultaneous fine control over stoichiometry and morphology, allowing for the fabrication of nanoscale materials, whilst addressing common sustainability issues faced in large scale production, e.g. high energy consumption. ",no,dev
10.1039/c7ta09260a,"For biotemplated materials calcined at 650 degC, it is evident, Fig. 9a, that correlations exist between the duration of calcination and reversible capacity; specifically, increasing the length of thermal treatment results in reduced capacities, with first discharge capacities of 110 mA h g-1 for the material calcined for 2 h, 104.8 mA h g-1 for 5 h, and 88.8 mA h g-1 for 12 h. ",no,train
10.1016/j.nanoen.2018.09.073,"As shown in Fig. 1(b-e), when high charge cutoff voltages are 3.8 V and 4.1 V, the half cells show excellent cycling stability (good capacity retention and limited voltage fading), while increasing the high charge cutoff voltages to 4.25 V and 4.5 V, the battery experiences serious voltage fading and capacity decay. ",no,test
10.1016/j.nanoen.2018.09.073,"Therefore, in order to push the SIB layer cathodes for high-voltage applications, suppressing or eliminating phase transition is indispensable to alleviate the internal strain and retain a stable lattice during charge and discharge cycling. ",no,train
10.1021/acsami.6b03944,"In comparison to LIBs, so far, the limitation of SIBs' practical applications focus on the lower operating voltage and specific energy/power densities. ",no,train
10.1039/c9ta02067e,"However, under the same test conditions at RT, charging back to 0.2 A g-1, as compared with the initial value, there exists a capacity fading of ~140 mA h g-1. ",no,train
10.1002/anie.201602202,"Therefore, the discharge capacity of a Na//Na2/3Ni1/3Mn2/3O2 cell fades rapidly during cycles upon charging to 4.35 V, and the available reversible capacity is limited to only 80 mA h g-1 in a lower potential domain of 3.8 V.13 Recently, doping electrochemically inactive elements into transition-metal oxide layers in such systems was found to be an effective means for improving the electrochemical performance of P2-type Na0.8Li0.12Ni0.22Mn0.66O214 and P2-type Na2/3Ni1/3Mn2/3-xTixO2.15 However, further studies are still needed to understand the phase transition mechanism and the structural changes that occur upon charge/discharge at voltages greater than 4.2 V. ",no,dev
10.1002/anie.201602202,"The Mg-substituted sample also showed a much better rate capability than pristine P2-type Na0.67Mn0.67Ni0.33O2 (Figure S8); however, the capacity was reduced by more than 50 % at 2 C (340 mA g-1) with a 2.5 V cutoff. ",both,dev
10.1016/j.jpowsour.2018.07.003,"SiP2 has a high specific theoretical capacity of 2902 mA h g-1 as an anode material for lithium-ion batteries and 1788 mA h g-1 for sodium-ion batteries, respectively, but demonstrates very poor cycling stability in the entire voltage range (0-2 V). ",no,train
10.1016/j.jpowsour.2018.07.003,"In the electrochemical analysis with voltage range between 0.25 V and 2 V, and voltage between 0.55 V and 2 V, SiP2 shows an outstanding retention of 98.8% and 99.9% after 100 cycles respectively; however, the narrow voltage range substantially limits capacities of SiP2, which only has a capacity of 1100 mA h g-1 operated from 0.25 V to 2 V and 500 mA h g-1 from 0.55 V to 2 V, respectively). ",no,test
10.1016/j.nanoen.2016.06.026,"Similar to the charge curves, the discharge plateaus of the uncoated Na2/3[Ni1/3Mn2/3]O2 were shortened as the cycle number increased, but the Al2O3-Na2/3[Ni1/3Mn2/3]O2 showed a much smaller capacity decay owing to the Al2O3 surface coating. ",both,train
10.1021/acs.inorgchem.6b01515,"Although some P2-type materials have high specific capacities and excellent capacity retention when cycling at a low current density of ~12 mA g-1, the low working voltage (<3.0 V vs Na+Na) makes them difficult to use for high-power applications. ",no,dev
10.1021/acsami.6b11773,"However, these reports added ether lithium salt (LiTFSI) or solid electrolyte in the cathode, which lowered the proportion of active material and raised the cost. ",no,train
10.1039/c5ee00878f,"Under high current densities, the electrode needs to finish the charge and discharge processes in a very short time. ",no,dev
10.1039/c5ee00878f,"As a sum result, under a high current density of 10 A g-1 in the second rate set, the A-Sb NR electrode displays rapid capacity decay. ",no,train
10.1039/c8cp01667d,"In addition, the delivered capacity is smaller than that of the cell working with lithium electrolyte: charge and discharge capacities are 42 mA h g-1 and 35 mA h g-1, respectively. ",no,train
10.1039/c8ta11927a,"The charge capacities, however, are 110 and 79 mA g-1 at 0.1C and 1C respectively, which are higher than those using the FEC additive, resulting in lower coulombic efficiencies. ",no,train
10.1039/d1ta01164b,"However, the available capacity was limited to 120 mA h g-1 in the full cell because of the narrower voltage range of approximately 2.0-3.8 V vs. Na+/Na to avoid the severe capacity decay by charging beyond 4.0 V. ",no,train
10.1039/d1ta01164b,"As we found in P2 type Na2/3Ni1/3Mn2/3O2, Ti-substitution is effective to enhance the performance, but the obtained reversible capacity in the O3 type was limited to less than 150 mA h g-1. ",both,train
10.1039/d1ta01164b,Mg-sub and Ti-sub electrodes deliver slightly smaller discharge capacities of ca. 185 mA h g-1 than 202 mA h g-1 for Non-sub at the initial cycle. ,no,dev
10.1016/j.jpowsour.2018.10.058,"While, excessive sodium-deficient cathodes (Na<0.8) are less suitable with the high capacity SIBs required due to their limited sodium contents. ",no,dev
10.1016/j.jpowsour.2018.10.058,"As can be seen in Fig. 4(c), the Na0.9Ni0.45Mn0.55O2 electrode exhibits very fast capacity degradation from 124.3 mA h*g-1 to 47.5 mA h*g-1 after 250 cycles, corresponding to only 38.3% capacity retention. ",no,dev
10.1021/acs.chemmater.6b01935,"For x = 0.05, the discharge capacity drops from 136 to 121 mAh g-1 after 50 cycles at a rate of 12 mA g-1, which corresponds to ~90% of capacity retention. ",no,test
10.1021/acsami.7b05326,"Though NIBs will unlikely reach the energy density of LIBs because of sodium's increased atomic mass and reduced electrochemical potential of 2.71 V (Li = 3.01 V), it could be an alternative for large grid storage applications where cost plays a more significant role. ",no,train
10.1021/acsami.7b05326,- Given that in a full cell the cathode has a higher mass fraction than the anode and operates at a higher potential increasing the capacity in NIBs requires more exploration on high-voltage cathode materials. ,no,dev
10.1021/acsami.7b05326,",,, Conversely, there are accounts that demonstrate the Al2O3 coating has lower capacity than the bare electrode at higher rates. ",no,dev
10.1039/c4ta05451b,"Ti-based oxides mainly include Na2Ti3O7, Li4Ti5O12 ( ) and Na0.66[Li0.22Ti0.78]O2, but the storage capacity is not high. ",no,train
10.1039/c4ta05451b,"Recently, expanded graphite was fabricated as an anode material for SIBs, but the first coulombic efficiency reported was only 49.53%. ",no,test
10.1039/c8nr02604a,"However, NIBs suffer from lower energy density because the average working potential of Na+-intercalation cathode materials is generally 0.3-0.5 V lower than that of Li-host counterparts. ",no,train
10.1002/aenm.201502568,A major challenge of practical implementation is the lack of accessible and affordable anodes that can reversibly store a substantial amount of Na ions in a fast and stable manner. ,no,train
10.1002/aenm.201502568,"Of the most studied systems, the Na2Ti3O7 features a large theoretical capacity and a low Na-storage potential. ",no,dev
10.1002/aenm.201502568,"In contrast, the NTO and T-NTO arrays exhibit lower reversible capacities of 147 and 165 mAh g-1, respectively, and Coulombic efficiency (Figure S5, Supporting Information). ",no,train
10.1016/j.jpowsour.2014.12.083,"Although Na0.66Ni0.33Mn0.67O2 exhibits a high initial discharge capacity, a fast capacity decay is observed in the first 10 cycles. ",no,train
10.1016/j.jpowsour.2018.05.026,The key issue for developing SIBs rests with the development of appropriate electrode materials. ,no,train
10.1016/j.jpowsour.2018.05.026,"Like all other cathode materials for LIBs , involving oxygen redox couples, P2-Na2/3Ni1/3Mn2/3O2 delivers high discharge capacities, but with a fast capacity drop. ",no,test
10.1021/acsami.6b04073,"The discharge capacity of MN decreases from the about 147 mAh g-1 to ca.106 mAh g-1 at the 50th cycle, which is equal to about 72% capacity retention at 0.1C. ",no,train
10.1039/c8ta08796b,"Caballero et al. studied a reversible electrochemical reaction of P2-Na0.67MnO2 that delivers approximately 150 mA h g-1 but shows several voltage plateaus during the Na+-ion intercalation, although the resulting capacity decreased gradually upon cycling. ",no,test
10.1039/c8ta08796b,Slightly lower capacities were observed for o-Na0.67[Ni0.05Mn0.95]O2: 155 mA h g-1 on charge and 222 mA h g-1 on discharge. ,no,test
10.1016/j.cej.2019.123234,The discharge capacity of NMO electrode is only 20.2 mAh g-1 with capacity retention of 19.7%. ,no,train
10.1021/ic300357d,"The discharge capacity slightly decreases from 125 mAh g-1 at 1/30 C to 105 mAh g-1 at 1 C (240 mA g-1), and polarization of the cells increases with the current density. ",no,train
10.1039/c6ta10345f,"However, the rate capability is still not satisfactory, in which it only delivered a capacity of 300 mA h g-1 at a current density of 3.2 A g-1. ",no,dev
10.1021/acsami.8b01362,"The standard electrode potential of Na is ca. 0.3 V higher than that of Li, and the average working voltages of Na x MeO2 (Me = transition metals) in Na cells are generally lower than those of Li x MeO2 in Li cells. ",no,dev
10.1021/acsami.8b01362,"Therefore, larger capacity is required for the positive electrode materials of Na cells than that of Li cells to achieve energy density comparable to that of Li-ion batteries by compensating the lower cell voltages for Na batteries. ",no,dev
10.1002/adfm.202010500,"The initial ionic conductivity of the interphase layer in the dual-additive electrolyte is lower than that without SA due to less NaF content; however, the uniformity and stability have been improved. ",both,train
10.1021/cm403855t,"However, Na concentration in the as-synthesized material cannot be higher than 0.9 per formula unit if the extremely unfavorable simultaneous occupancy of nearest-neighbor Na sites in the P2 structure is to be prevented. ",no,train
10.1039/c6ta07589d,The solid-state diffusion process of Na+ is generally the limiting factor for an electrode reaction. ,no,test
10.1039/c7cc04328g,"So, it is necessary to reduce the content of Mn3+ and even eliminate Mn3+ not only in preparation but also in application. ",no,test
10.1002/aenm.201400458,"This voltage window is the most ideal for the electrolyte composition, as a higher charge cutoff voltage could oxidize the electrolyte and deteriorate the cell performance. ",no,train
10.1002/aenm.201400458,"Second, with absence of lithium salt in the electrolyte, the concentration of deintercalated lithium ions will be much lower than that of sodium ions. ",no,test
10.1016/j.cej.2019.05.010,"In addition, the transition metal ions in bare NaMN will dissolve in the electrolyte during the activation process and the original surface structure of NaMN is destroyed, hence, NaMN show a larger Rct value. ",no,train
10.1016/j.cej.2019.05.010,"This may be due to the fact that the bare material will directly contact the electrolyte and it could cause more defects on the surface of the particle, and resulting in the escape of surface oxygen (O2- - O2). ",no,test
10.1039/c8ta10980j,"Obviously, the gradient Co3+ substituted P2-NaNMO electrode has reduced Rct and Wo values compared to those of the bare electrode during the whole charge/discharge process in Table 1, suggesting lower charge transfer resistance and Na+ diffusion impedance. ",no,train
10.1039/d0ta07229j,"Therefore, an exciting new paradigm based on an anionic redox reaction of O2-/On- has been highlighted to overcome the intrinsic limitation, which indicates that the standard redox potential of Na/Na+ is theoretically lower than that of Li/Li+. ",no,train
10.1039/d0ta07229j,"Furthermore, it is anticipated that the HN-poor phase in Na1-x[Mn1/2Ni1/2]O2 leads to the maintenance of its voltage with a smaller loss of energy density in comparison to the typical anion-activated layered cathodes during the first charge-discharge process. ",no,test
10.1002/adfm.201705968,"The reduced formation of the above-mentioned byproducts on the surface of NaPO3-coated Na2/3[Ni1/3Mn2/3]O2 was responsible for the low impedance during cycling, and this, in turn, contributed to the better electrode performance. ",both,train
10.1002/aenm.202002737,"[29] However, for cathodes containing transition metal elements, such as Na2/3Ni1/3Mn2/3O2, oxidative decomposition of electrolytes could probably be induced even at an operation voltage lower than the oxidation potential of electrolytes due to the higher catalytic activity of transition metals. ",no,train
10.1002/ppsc.201500129,"A peak at around 4.2 V was only seen for the charging process, which is associated with the decomposition of the electrolyte and a lower cut-off voltage should be chosen for a higher initial Coulombic efficiency. ",no,test
10.1016/j.jelechem.2018.08.032,"The high electrolyte uptake behaviour of as-prepared P(VdF-co-HFP) fibrous membrane might increase the number of charge carriers and thus, lead to increase the ionic conductivity at ambient temperature. ",both,test
10.1039/c7ee02995k,"Mg2+ substitution for Ni2+ has shown great promise and hence is one of the most studied approaches, although the non-redox active behaviour of Mg2+ in principle causes a penalty on the overall charge stored in the material. ",no,train
10.1039/c7ee02995k,The large displacement of Mg2+ in the z direction consequently alters the electrostatic potential felt by Na+ ions and has a beneficial effect on Na diffusion. ,both,train
10.1002/aenm.201702599,"Besides size, our choice for Sn4+ is also nested in its inability to interact with oxygen through its d orbitals, hence reducing orbital overlap and favoring charge localization in the metallic layer. ",no,train
10.1002/aenm.201702599,"Such a decay is minimized for the Sn-rich materials (NaNi0.5Mn0.5-ySnyO2, y = 0.5, 0.4, and 0.3) that do not show the 4.2 V plateau. ",no,train
10.1002/aenm.201702599,"Thus, powders of electrodes made out of the NaNi0.5Sn0.5O2 phases, in spite of their elevated (3.2 V) redox potential, will have to be handled in dry conditions. ",no,test
10.1016/j.electacta.2016.11.141,P2-Na2/3Ni1/3Mn2/3O2 plates show low charge-transfer resistance and also exhibit better rate performance than P3-Na2/3Ni1/3Mn2/3O2 powders. ,both,train
10.1021/jacs.7b00164,"Thus, the phase transformation is delayed upon Na deintercalation, the P2 structure is retained in the high voltage region, and the cycling performance is improved. ",both,train
10.1039/c6ta08667e,An attempt to improve the electrode stability consists of limiting the electrode voltage excursion in order to control the occurrence of phase changes and associated structural modifications. ,both,test
10.1039/c6ta08667e,"In order to further analyze processes affecting the electrochemical performance, the increase of the cell resistance, attributed to electrolyte's degradation, and structural changes, leading to loss of hosting sites for sodium, have been investigated by means of electrochemical impedance analysis. ",no,train
10.1039/c7ta09260a,"A likely major contributing factor is the large difference in average particle size between solid state (1740 nm) and biotemplated materials (115-167 nm), with significantly reduced diffusion lengths enabling effective utilization of more electrode material. ",both,test
10.1002/adfm.201907837,"Nanotechnology has been extensively applied to boost electrode performance by virtue of the increased reactivity, the shortened ionic diffusion paths, and the strengthened ability to endure deformation stress.Accordingly, nanoengineering may provide an opportunity to tackle the aforementioned limitations facing the P2-Na2/3Ni1/3Mn2/3O2 cathode. ",both,train
10.1016/j.cej.2019.123233,"In addition, considering the fact that the volume change of active cathode particles during cycling would deteriorate electrolyte/electrode contact, SN-NaClO4 electrolyte was introduced into the cathode side to improve interface stability between electrode and electrolyte. ",both,train
10.1016/j.cej.2019.123233,"The introduction of nano-sized NZSP particles impede the crystallinity and increase movement of polymer chain segments, which is benefit to improve the ionic conductivity. ",both,train
10.1016/j.cej.2019.123233,"The improved interfacial compatibles between composite electrolytes with Na anode were due to the introduction of nano-sized NZSP, which minimizes the contact area of Na electrode exposed to PEO and effectively impede the reaction between Na metal and PEO matrix. ",both,train
10.1016/j.cej.2019.123233,This is owing to that NZSP particles can act as a physical barrier to suppress Na dendrites growth. ,no,train
10.1016/j.electacta.2016.04.138,"This is because the synthesis technique of Na0.5Ni0.25Mn0.75O2 ensures that the Na/M ratio (Na/M <1) is low, similar to that of sodium ion deficient compounds in general. ",no,dev
10.1016/j.ssi.2018.11.011,"The reduction of NiO byproducts in the synthesis process was reduced by the reduction of nickel content in Na0.44Mn0.6Ni 0.3Cu0.1O2, which decreased the side reaction during charging and discharging process. ",no,train
10.1016/j.ssi.2018.11.011,"Moreover, charge transfer resistance decreased from 125.8 O to 100.6 O, showing a reduction of resistance in deintercalation/intercalation process. ",no,train
10.1039/c5ta10589g,"In addition, the Ni component can in part compensate for the capacity loss induced by inactive Mg-ion because of the electrochemical activation of the Ni element. ",no,train
10.1039/c5ta10589g,"Generally, the large d-spacing of the ion diffusion layer could reduce the activation energy barrier of the ion diffusion, which may help to accelerate the diffusion speed of sodium-ion in the crystal during the sodiation and desodiation process. ",both,dev
10.1039/c9ta02067e,"Lowering the temperature to sub-zero, although the Ga-based sulfide loses its electrochemical activity, fortunately it can serve as a high ionic conductivity medium, boosting the reversibility of cobalt sulfides. ",both,train
10.1016/j.electacta.2015.04.125,"Due to the relatively high content of Na in the P2 structure upon charge, the phase transformation can be effectively delayed even at high voltage region. ",no,train
10.1016/j.jallcom.2019.03.093,Galvanostatic tests at different rates and potential windows will evidence better capacity retention and low charge-discharge hysteresis for NaNMO-2% in close relationship with the low internal resistance values at the electrode-electrolyte interphase and apparent diffusion coefficients determined by impedance spectroscopy. ,no,dev
10.1016/j.jallcom.2019.03.093,"Even if these factors lead to a slightly lower performance of the Na cells, these devices may find particular applicability for which these drawbacks have a less impact. ",no,train
10.1016/j.jallcom.2019.03.093,A partial suppression of the P2-O2 phase transition could be responsible for the electrochemical improvement. ,both,test
10.1016/j.jpowsour.2016.05.064,The lower polarization can be ascribed to the high electric conductivity of Na[Ni0.2Fe0.55Mn0.25]O2 compared that of the Na[Ni0.35Fe0.40Mn0.25]O2. ,both,train
10.1016/j.jpowsour.2016.05.064,"Hence, the increment of the Fe content is beneficial in improving the electric conductivity, which is associated with a low band gap energy (~2.5eV for Fe2O3). ",both,dev
10.1039/c3cp00070b,"In addition, we may also consider that the cation mixing in the structure, i.e., a factor greatly affecting the rate capability of the Li(Ni0.5Mn0.5)O2 electrode, is almost negligible in the case of Na(Ni0.5Mn0.5)O2. ",no,train
10.1039/c6ta10334k,"Moreover, complete removal of Na ions in a wider operating window led to increased repulsion of oxygen atoms in adjacent layers. ",no,train
10.1039/c6ta10334k,"However, substitution by copper smoothens the voltage plateau above 3.5 V vs. Na, thereby reducing the phase gliding due to deep extraction of Na at higher voltages. ",no,train
10.1039/c6ta10334k,"The separations between anodic and cathodic peaks were significantly reduced for Cu-doped samples, thereby proving the improved stability of the cathode. ",both,train
10.1039/c6ta10334k,"In addition, MgO coating decreased the activation energy for charge transfer reaction at electrode/electrolyte interface. ",no,train
10.1039/c6ta10334k,This was due to the rapid charge transfer at the electrode/electrolyte interface and enhanced reaction kinetics of the electrode material. ,no,train
10.1039/c6ta10334k,"Moreover, the absence of a proper semicircle in the high-frequency region of the doped material denoted negligible role of resistance caused by diffusion of Na+ ions in SEI layer. ",no,train
10.1039/c8cp01667d,"In contrast, the hybrid ion cell based on electrodes with non-selectivity towards Li+ and Na+ intercalation displays a higher energy density due to the reduction of the electrolyte amount. ",no,train
10.1039/c8cp01667d,"Although we used Li4Ti5O12 with non-optimized morphology with respect to Na+ intercalation (particle sizes varying between 300 and 600 nm), this result underlines the importance of the choice of a suitable electrolyte in order to achieve a high-performance full-ion cell. ",no,train
10.1039/c8ta11927a,"The high current density, to some extent, inhibits the occurrence of the side reaction due to the fast sodium ion de-insertion/insertion processes. ",no,train
10.1039/c9ta00968j,The expansion of TMO2 and the layer spacing (d) reduces the sodium ion migration barrier and enhances the Na+ diffusion coefficient. ,no,train
10.1039/d1ta01164b,"Consequently, a significant reduction in interslab distances is observed from 5.67 A of O'3 to 4.42 A of the O3 type phase. ",no,train
10.1016/j.jpowsour.2018.04.077,"The initial Rf and R ct values of NMO/20 wt% NNMO are significantly smaller than that of NMO, indicating that the coated material has lower impedance. ",no,dev
10.1021/acs.chemmater.6b01935,The fast Na-ion mobility may be the cause of the enhanced rate performance. ,both,dev
10.1021/acs.chemmater.6b01935,"In order to address the issue of capacity fade, doping of Na0.67Ni0.33Mn0.67O2 with ions such as Zn2+ or Ti4+ (substituting for Ni and Mn, respectively) has been adopted. ",no,test
10.1021/acs.chemmater.6b01935,Li et al. have also observed improved high-rate performance in the Mg- and Ni-doped Na0.67MnO2 with formula Na0.67Ni0.1Mg0.1Mn0.8O2 and explained this with the expansion of the interplanar spacing of the sodium layer caused by shortening of the TM-O bond lengths and the shrinkage of the TMO6 octahedra. ,both,train
10.1021/acsami.7b05326,"Given that ALD coatings are in the early stage of development for NIB cathode materials, little is known about how ALD coatings, in particular aluminum oxide (Al2O3), affect the electrode-electrolyte interface. ",no,train
10.1021/acsami.7b05326,"To combat these issues, ALD was used to coat Al2O3 on the P2-NaNiMnO composite electrode surface. ",no,dev
10.1021/acsami.7b05326,"Finally, it is obvious that Al2O3 ALD coating reduces the overall potential in the cell throughout electrochemical cycling. ",both,dev
10.1021/acsami.7b05326,They determined that a thinner coating outperforms the bare cathode while a thicker coating hinders the rate capabilities due to the insulating properties of Al2O3. ,both,train
10.1002/aenm.201502568,"Finally, it is worth pointing out that this facile surface engineering strategy is in principle applicable to other Na-storage electrode materials with poor kinetics and cycling stability. ",no,dev
